rel_income,perc_025,perc_05,perc_25,perc_50,perc_75,perc_95,perc_975,perc_mean,perc_std,perc_upper_std,perc_lower_std
2.0,0.1,0.1,0.95,0.95,0.97,0.98,0.98,0.8870814479638066,0.23835859277150426,1.363798633506815,0.4103642624207981
2.3,0.1,0.43999999999999884,0.96,0.97,0.98,0.99,0.99,0.9258739255014341,0.19311763472338597,1.312109194948206,0.5396386560546622
2.5,0.1,0.1,0.97,0.98,0.98,0.99,0.99,0.9141114982578384,0.22806382090500427,1.3702391400678469,0.4579838564478299
3.0,0.1,0.1,0.1,0.98,0.99,0.99,0.99,0.5803703703703694,0.4428322413860937,1.4660348531425567,-0.3052941124018179
4.0,0.1,0.1,0.1,0.1,0.2,1.0,1.0,0.32774774774774773,0.36601958388908074,1.0597869155259092,-0.40429142003041374
3.5,0.1,0.1,0.1,0.1,0.99,0.9994999999999999,1.0,0.46677419354838684,0.4341027082273532,1.3349796100030933,-0.40143122290631955
3.6,0.1,0.1,0.1,0.15000000000000002,0.99,1.0,1.0,0.43257142857142844,0.4207504879199621,1.2740724044113527,-0.4089295472684958
3.8,0.1,0.1,0.1,0.2,1.0,1.0,1.0,0.4742307692307692,0.4364713505134152,1.3471734702575995,-0.3987119317960612
3.4,0.1,0.1,0.1,0.98,0.99,1.0,1.0,0.5643859649122803,0.4401055780145243,1.4445971209413289,-0.3158251911167683
3.3,0.1,0.1,0.1,0.1,0.99,0.9939999999999999,1.0,0.49150684931506833,0.44360790755675183,1.378722664428572,-0.39570896579843534
3.2,0.1,0.1,0.1,0.98,0.99,1.0,1.0,0.6036250000000002,0.43977337014490464,1.4831717402898095,-0.2759217402898091
3.1,0.1,0.1,0.1,0.98,0.99,0.99,0.99,0.6617073170731711,0.42931126259709573,1.5203298422673626,-0.19691520812102037
3.7,0.1,0.1,0.1,0.1,0.99,1.0,1.0,0.37947368421052624,0.40670461838604854,1.1928829209826233,-0.43393555256157085
3.9,0.1,0.1,0.1,0.2,1.0,1.0,1.0,0.5593617021276596,0.43699768308668047,1.4333570683010204,-0.31463366404570137
4.1,0.1,0.1,0.1,0.2,1.0,1.0,1.0,0.38553571428571426,0.3939631715268327,1.1734620573393797,-0.4023906287679511
2.8,0.1,0.1,0.1,0.98,0.99,0.99,0.99,0.6816438356164372,0.4212559667392997,1.5241557690950365,-0.16086809786216227
1.8,0.1,0.1,0.95,0.95,0.96,0.97,0.97,0.8998623853211036,0.21011184065450392,1.3200860666301115,0.4796387040120958
2.4,0.1,0.1,0.96,0.97,0.98,0.99,0.99,0.9204999999999989,0.2108123193194226,1.3421246386388441,0.4988753613611537
2.6,0.1,0.1,0.97,0.98,0.99,0.99,0.99,0.8662037037037067,0.2965168887071095,1.4592374811179258,0.27316992628948766
2.2,0.1,0.1,0.95,0.97,0.97,0.98,0.9894999999999998,0.9095046439628482,0.2140581039642663,1.3376208518913808,0.48138843603431564
2.1,0.1,0.1,0.96,0.96,0.97,0.98,0.98,0.9157971014492836,0.19831912891172193,1.3124353592727274,0.5191588436258397
1.9,0.1,0.1,0.95,0.96,0.96,0.97,0.97,0.906933333333337,0.20436359055869652,1.31566051445073,0.498206152215944
4.2,0.1,0.1,0.2,0.2,1.0,1.0,1.0,0.5079032258064516,0.4096425354802276,1.3271882967669069,-0.3113818451540036
4.3,0.1,0.1,0.2,0.3,1.0,1.0,1.0,0.5827692307692309,0.4148588151871206,1.412486861143472,-0.24694839960501025
4.4,0.1275,0.2,0.2,0.99,1.0,1.0,1.0,0.6319230769230769,0.4011113896512959,1.4341458562256686,-0.17029970237951486
2.9,0.1,0.1,0.98,0.99,0.99,0.99,0.99,0.7965641025641025,0.3659248834859644,1.5284138695360312,0.06471433559217366
1.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.10000000000000002,1.6996749443881478e-17,0.10000000000000005,0.09999999999999999
2.7,0.1,0.1,0.97,0.98,0.99,0.99,0.99,0.8728260869565191,0.2908733116016225,1.454572710159764,0.2910794637532741
1.7,0.1,0.8650000000000002,0.95,0.95,0.95,0.96,0.9604999999999999,0.9091139240506332,0.1881092827043171,1.2853324894592673,0.532895358641999
5.0,0.2,0.2,0.2,0.2,0.3,1.0,1.0,0.38140096618357455,0.32813753421132014,1.0376760346062148,-0.2748741022390657
1.5,0.1,0.1,0.1,0.1,0.3125,0.8224999999999997,0.8862499999999998,0.3125,0.42499999999999993,1.1624999999999999,-0.5374999999999999
