quantile,country,year,rel_income,code,num,original,normalized
First percentile,Albania,2017,0.1,P,1,P1:First percentile,0.01
First percentile,Albania,2018,0.1,P,1,P1:First percentile,0.01
First percentile,Albania,2019,0.1,P,1,P1:First percentile,0.01
First percentile,Albania,2020,0.1,P,1,P1:First percentile,0.01
First percentile,Austria,2003,0.1,P,1,P1:First percentile,0.01
First percentile,Austria,2004,0.1,P,1,P1:First percentile,0.01
First percentile,Austria,2005,0.1,P,1,P1:First percentile,0.01
First percentile,Austria,2006,0.1,P,1,P1:First percentile,0.01
First percentile,Austria,2007,0.1,P,1,P1:First percentile,0.01
First percentile,Austria,2008,0.1,P,1,P1:First percentile,0.01
First percentile,Austria,2009,0.0,P,1,P1:First percentile,0.01
First percentile,Austria,2010,0.0,P,1,P1:First percentile,0.01
First percentile,Austria,2011,0.0,P,1,P1:First percentile,0.01
First percentile,Austria,2012,0.0,P,1,P1:First percentile,0.01
First percentile,Austria,2013,0.0,P,1,P1:First percentile,0.01
First percentile,Austria,2014,0.1,P,1,P1:First percentile,0.01
First percentile,Austria,2015,0.1,P,1,P1:First percentile,0.01
First percentile,Austria,2016,0.0,P,1,P1:First percentile,0.01
First percentile,Austria,2017,0.0,P,1,P1:First percentile,0.01
First percentile,Austria,2018,0.1,P,1,P1:First percentile,0.01
First percentile,Austria,2019,0.0,P,1,P1:First percentile,0.01
First percentile,Austria,2020,0.0,P,1,P1:First percentile,0.01
First percentile,Austria,2021,0.0,P,1,P1:First percentile,0.01
First percentile,Belgium,2003,-0.1,P,1,P1:First percentile,0.01
First percentile,Belgium,2004,-0.1,P,1,P1:First percentile,0.01
First percentile,Belgium,2005,0.1,P,1,P1:First percentile,0.01
First percentile,Belgium,2006,-0.2,P,1,P1:First percentile,0.01
First percentile,Belgium,2007,0.0,P,1,P1:First percentile,0.01
First percentile,Belgium,2008,-0.1,P,1,P1:First percentile,0.01
First percentile,Belgium,2009,-0.2,P,1,P1:First percentile,0.01
First percentile,Belgium,2010,0.1,P,1,P1:First percentile,0.01
First percentile,Belgium,2011,0.0,P,1,P1:First percentile,0.01
First percentile,Belgium,2012,-0.1,P,1,P1:First percentile,0.01
First percentile,Belgium,2013,0.1,P,1,P1:First percentile,0.01
First percentile,Belgium,2014,0.1,P,1,P1:First percentile,0.01
First percentile,Belgium,2015,0.1,P,1,P1:First percentile,0.01
First percentile,Belgium,2016,0.1,P,1,P1:First percentile,0.01
First percentile,Belgium,2017,0.0,P,1,P1:First percentile,0.01
First percentile,Belgium,2018,0.1,P,1,P1:First percentile,0.01
First percentile,Belgium,2019,0.1,P,1,P1:First percentile,0.01
First percentile,Belgium,2020,0.1,P,1,P1:First percentile,0.01
First percentile,Belgium,2021,0.1,P,1,P1:First percentile,0.01
First percentile,Bulgaria,2006,0.1,P,1,P1:First percentile,0.01
First percentile,Bulgaria,2007,0.0,P,1,P1:First percentile,0.01
First percentile,Bulgaria,2008,0.1,P,1,P1:First percentile,0.01
First percentile,Bulgaria,2009,0.1,P,1,P1:First percentile,0.01
First percentile,Bulgaria,2010,0.1,P,1,P1:First percentile,0.01
First percentile,Bulgaria,2011,0.1,P,1,P1:First percentile,0.01
First percentile,Bulgaria,2012,0.0,P,1,P1:First percentile,0.01
First percentile,Bulgaria,2013,0.1,P,1,P1:First percentile,0.01
First percentile,Bulgaria,2014,0.0,P,1,P1:First percentile,0.01
First percentile,Bulgaria,2015,0.1,P,1,P1:First percentile,0.01
First percentile,Bulgaria,2016,0.0,P,1,P1:First percentile,0.01
First percentile,Bulgaria,2017,0.0,P,1,P1:First percentile,0.01
First percentile,Bulgaria,2018,0.1,P,1,P1:First percentile,0.01
First percentile,Bulgaria,2019,0.1,P,1,P1:First percentile,0.01
First percentile,Bulgaria,2020,0.1,P,1,P1:First percentile,0.01
First percentile,Bulgaria,2021,0.1,P,1,P1:First percentile,0.01
First percentile,Switzerland,2007,0.0,P,1,P1:First percentile,0.01
First percentile,Switzerland,2008,0.0,P,1,P1:First percentile,0.01
First percentile,Switzerland,2009,0.1,P,1,P1:First percentile,0.01
First percentile,Switzerland,2010,0.1,P,1,P1:First percentile,0.01
First percentile,Switzerland,2011,0.1,P,1,P1:First percentile,0.01
First percentile,Switzerland,2012,0.1,P,1,P1:First percentile,0.01
First percentile,Switzerland,2013,0.1,P,1,P1:First percentile,0.01
First percentile,Switzerland,2014,0.1,P,1,P1:First percentile,0.01
First percentile,Switzerland,2015,0.1,P,1,P1:First percentile,0.01
First percentile,Switzerland,2016,0.1,P,1,P1:First percentile,0.01
First percentile,Switzerland,2017,0.1,P,1,P1:First percentile,0.01
First percentile,Switzerland,2018,0.1,P,1,P1:First percentile,0.01
First percentile,Switzerland,2019,0.1,P,1,P1:First percentile,0.01
First percentile,Switzerland,2020,0.0,P,1,P1:First percentile,0.01
First percentile,Cyprus,2005,0.2,P,1,P1:First percentile,0.01
First percentile,Cyprus,2006,0.2,P,1,P1:First percentile,0.01
First percentile,Cyprus,2007,0.2,P,1,P1:First percentile,0.01
First percentile,Cyprus,2008,0.2,P,1,P1:First percentile,0.01
First percentile,Cyprus,2009,0.2,P,1,P1:First percentile,0.01
First percentile,Cyprus,2010,0.2,P,1,P1:First percentile,0.01
First percentile,Cyprus,2011,0.2,P,1,P1:First percentile,0.01
First percentile,Cyprus,2012,0.2,P,1,P1:First percentile,0.01
First percentile,Cyprus,2013,0.2,P,1,P1:First percentile,0.01
First percentile,Cyprus,2014,0.2,P,1,P1:First percentile,0.01
First percentile,Cyprus,2015,0.2,P,1,P1:First percentile,0.01
First percentile,Cyprus,2016,0.2,P,1,P1:First percentile,0.01
First percentile,Cyprus,2017,0.2,P,1,P1:First percentile,0.01
First percentile,Cyprus,2018,0.2,P,1,P1:First percentile,0.01
First percentile,Cyprus,2019,0.2,P,1,P1:First percentile,0.01
First percentile,Cyprus,2020,0.2,P,1,P1:First percentile,0.01
First percentile,Cyprus,2021,0.2,P,1,P1:First percentile,0.01
First percentile,Czechia,2005,0.2,P,1,P1:First percentile,0.01
First percentile,Czechia,2006,0.2,P,1,P1:First percentile,0.01
First percentile,Czechia,2007,0.2,P,1,P1:First percentile,0.01
First percentile,Czechia,2008,0.2,P,1,P1:First percentile,0.01
First percentile,Czechia,2009,0.2,P,1,P1:First percentile,0.01
First percentile,Czechia,2010,0.2,P,1,P1:First percentile,0.01
First percentile,Czechia,2011,0.2,P,1,P1:First percentile,0.01
First percentile,Czechia,2012,0.2,P,1,P1:First percentile,0.01
First percentile,Czechia,2013,0.2,P,1,P1:First percentile,0.01
First percentile,Czechia,2014,0.2,P,1,P1:First percentile,0.01
First percentile,Czechia,2015,0.2,P,1,P1:First percentile,0.01
First percentile,Czechia,2016,0.2,P,1,P1:First percentile,0.01
First percentile,Czechia,2017,0.2,P,1,P1:First percentile,0.01
First percentile,Czechia,2018,0.2,P,1,P1:First percentile,0.01
First percentile,Czechia,2019,0.2,P,1,P1:First percentile,0.01
First percentile,Czechia,2020,0.2,P,1,P1:First percentile,0.01
First percentile,Czechia,2021,0.2,P,1,P1:First percentile,0.01
First percentile,Germany (until 1990 former territory of the FRG),2005,0.0,P,1,P1:First percentile,0.01
First percentile,Germany (until 1990 former territory of the FRG),2006,-0.4,P,1,P1:First percentile,0.01
First percentile,Germany (until 1990 former territory of the FRG),2007,-0.4,P,1,P1:First percentile,0.01
First percentile,Germany (until 1990 former territory of the FRG),2008,-0.1,P,1,P1:First percentile,0.01
First percentile,Germany (until 1990 former territory of the FRG),2009,0.1,P,1,P1:First percentile,0.01
First percentile,Germany (until 1990 former territory of the FRG),2010,0.0,P,1,P1:First percentile,0.01
First percentile,Germany (until 1990 former territory of the FRG),2011,-0.1,P,1,P1:First percentile,0.01
First percentile,Germany (until 1990 former territory of the FRG),2012,0.1,P,1,P1:First percentile,0.01
First percentile,Germany (until 1990 former territory of the FRG),2013,0.0,P,1,P1:First percentile,0.01
First percentile,Germany (until 1990 former territory of the FRG),2014,-0.4,P,1,P1:First percentile,0.01
First percentile,Germany (until 1990 former territory of the FRG),2015,-0.1,P,1,P1:First percentile,0.01
First percentile,Germany (until 1990 former territory of the FRG),2016,-0.1,P,1,P1:First percentile,0.01
First percentile,Germany (until 1990 former territory of the FRG),2017,-0.1,P,1,P1:First percentile,0.01
First percentile,Germany (until 1990 former territory of the FRG),2018,-0.6,P,1,P1:First percentile,0.01
First percentile,Germany (until 1990 former territory of the FRG),2019,-1.0,P,1,P1:First percentile,0.01
First percentile,Germany (until 1990 former territory of the FRG),2020,0.0,P,1,P1:First percentile,0.01
First percentile,Germany (until 1990 former territory of the FRG),2021,-0.1,P,1,P1:First percentile,0.01
First percentile,Denmark,2003,-0.2,P,1,P1:First percentile,0.01
First percentile,Denmark,2004,-0.2,P,1,P1:First percentile,0.01
First percentile,Denmark,2005,-0.5,P,1,P1:First percentile,0.01
First percentile,Denmark,2006,-0.2,P,1,P1:First percentile,0.01
First percentile,Denmark,2007,-0.6,P,1,P1:First percentile,0.01
First percentile,Denmark,2008,-0.2,P,1,P1:First percentile,0.01
First percentile,Denmark,2009,-2.0,P,1,P1:First percentile,0.01
First percentile,Denmark,2010,-1.3,P,1,P1:First percentile,0.01
First percentile,Denmark,2011,-0.5,P,1,P1:First percentile,0.01
First percentile,Denmark,2012,-0.4,P,1,P1:First percentile,0.01
First percentile,Denmark,2013,-0.2,P,1,P1:First percentile,0.01
First percentile,Denmark,2014,-0.2,P,1,P1:First percentile,0.01
First percentile,Denmark,2015,-0.2,P,1,P1:First percentile,0.01
First percentile,Denmark,2016,-0.2,P,1,P1:First percentile,0.01
First percentile,Denmark,2017,-0.2,P,1,P1:First percentile,0.01
First percentile,Denmark,2018,-0.2,P,1,P1:First percentile,0.01
First percentile,Denmark,2019,-0.2,P,1,P1:First percentile,0.01
First percentile,Denmark,2020,-0.1,P,1,P1:First percentile,0.01
First percentile,Denmark,2021,-0.1,P,1,P1:First percentile,0.01
