quantile,country,year,rel_income,code,num,original
First decile,Albania,2017,2.0,D,1,D1:First decile
First decile,Albania,2018,2.0,D,1,D1:First decile
First decile,Albania,2019,2.3,D,1,D1:First decile
First decile,Albania,2020,2.5,D,1,D1:First decile
First decile,Austria,1995,3.0,D,1,D1:First decile
First decile,Austria,1996,4.0,D,1,D1:First decile
First decile,Austria,1997,4.0,D,1,D1:First decile
First decile,Austria,1998,4.0,D,1,D1:First decile
First decile,Austria,1999,4.0,D,1,D1:First decile
First decile,Austria,2000,4.0,D,1,D1:First decile
First decile,Austria,2001,4.0,D,1,D1:First decile
First decile,Austria,2003,3.5,D,1,D1:First decile
First decile,Austria,2004,3.6,D,1,D1:First decile
First decile,Austria,2005,3.8,D,1,D1:First decile
First decile,Austria,2006,3.8,D,1,D1:First decile
First decile,Austria,2007,3.8,D,1,D1:First decile
First decile,Austria,2008,3.4,D,1,D1:First decile
First decile,Austria,2009,3.3,D,1,D1:First decile
First decile,Austria,2010,3.2,D,1,D1:First decile
First decile,Austria,2011,3.4,D,1,D1:First decile
First decile,Austria,2012,3.2,D,1,D1:First decile
First decile,Austria,2013,3.2,D,1,D1:First decile
First decile,Austria,2014,3.4,D,1,D1:First decile
First decile,Austria,2015,3.5,D,1,D1:First decile
First decile,Austria,2016,3.3,D,1,D1:First decile
First decile,Austria,2017,3.1,D,1,D1:First decile
First decile,Austria,2018,3.4,D,1,D1:First decile
First decile,Austria,2019,3.2,D,1,D1:First decile
First decile,Austria,2020,3.3,D,1,D1:First decile
First decile,Austria,2021,3.2,D,1,D1:First decile
First decile,Belgium,1995,3.0,D,1,D1:First decile
First decile,Belgium,1996,3.0,D,1,D1:First decile
First decile,Belgium,1997,4.0,D,1,D1:First decile
First decile,Belgium,1998,4.0,D,1,D1:First decile
First decile,Belgium,1999,4.0,D,1,D1:First decile
First decile,Belgium,2000,4.0,D,1,D1:First decile
First decile,Belgium,2001,4.0,D,1,D1:First decile
First decile,Belgium,2003,3.1,D,1,D1:First decile
First decile,Belgium,2004,3.3,D,1,D1:First decile
First decile,Belgium,2005,3.8,D,1,D1:First decile
First decile,Belgium,2006,3.3,D,1,D1:First decile
First decile,Belgium,2007,3.6,D,1,D1:First decile
First decile,Belgium,2008,3.5,D,1,D1:First decile
First decile,Belgium,2009,3.5,D,1,D1:First decile
First decile,Belgium,2010,3.6,D,1,D1:First decile
First decile,Belgium,2011,3.6,D,1,D1:First decile
First decile,Belgium,2012,3.4,D,1,D1:First decile
First decile,Belgium,2013,3.7,D,1,D1:First decile
First decile,Belgium,2014,3.7,D,1,D1:First decile
First decile,Belgium,2015,3.7,D,1,D1:First decile
First decile,Belgium,2016,3.7,D,1,D1:First decile
First decile,Belgium,2017,3.6,D,1,D1:First decile
First decile,Belgium,2018,3.7,D,1,D1:First decile
First decile,Belgium,2019,3.9,D,1,D1:First decile
First decile,Belgium,2020,3.9,D,1,D1:First decile
First decile,Belgium,2021,4.1,D,1,D1:First decile
First decile,Bulgaria,2006,2.8,D,1,D1:First decile
First decile,Bulgaria,2007,1.8,D,1,D1:First decile
First decile,Bulgaria,2008,2.4,D,1,D1:First decile
First decile,Bulgaria,2009,2.6,D,1,D1:First decile
First decile,Bulgaria,2010,2.6,D,1,D1:First decile
First decile,Bulgaria,2011,2.3,D,1,D1:First decile
First decile,Bulgaria,2012,2.3,D,1,D1:First decile
First decile,Bulgaria,2013,2.2,D,1,D1:First decile
First decile,Bulgaria,2014,2.1,D,1,D1:First decile
First decile,Bulgaria,2015,2.2,D,1,D1:First decile
First decile,Bulgaria,2016,1.8,D,1,D1:First decile
First decile,Bulgaria,2017,1.9,D,1,D1:First decile
First decile,Bulgaria,2018,2.1,D,1,D1:First decile
First decile,Bulgaria,2019,2.1,D,1,D1:First decile
First decile,Bulgaria,2020,2.1,D,1,D1:First decile
First decile,Bulgaria,2021,2.3,D,1,D1:First decile
First decile,Switzerland,2007,3.1,D,1,D1:First decile
First decile,Switzerland,2008,3.1,D,1,D1:First decile
First decile,Switzerland,2009,3.2,D,1,D1:First decile
First decile,Switzerland,2010,3.3,D,1,D1:First decile
First decile,Switzerland,2011,3.2,D,1,D1:First decile
First decile,Switzerland,2012,3.3,D,1,D1:First decile
First decile,Switzerland,2013,3.6,D,1,D1:First decile
First decile,Switzerland,2014,3.5,D,1,D1:First decile
First decile,Switzerland,2015,3.4,D,1,D1:First decile
First decile,Switzerland,2016,3.4,D,1,D1:First decile
First decile,Switzerland,2017,3.2,D,1,D1:First decile
First decile,Switzerland,2018,3.3,D,1,D1:First decile
First decile,Switzerland,2019,3.1,D,1,D1:First decile
