quantile,geo,TIME_PERIOD,OBS_VALUE
First decile,Albania,2017,2.0
First decile,Albania,2018,2.0
First decile,Albania,2019,2.3
First decile,Albania,2020,2.5
First decile,Austria,1995,3.0
First decile,Austria,1996,4.0
First decile,Austria,1997,4.0
First decile,Austria,1998,4.0
First decile,Austria,1999,4.0
First decile,Austria,2000,4.0
First decile,Austria,2001,4.0
First decile,Austria,2003,3.5
First decile,Austria,2004,3.6
First decile,Austria,2005,3.8
First decile,Austria,2006,3.8
First decile,Austria,2007,3.8
First decile,Austria,2008,3.4
First decile,Austria,2009,3.3
First decile,Austria,2010,3.2
First decile,Austria,2011,3.4
First decile,Austria,2012,3.2
First decile,Austria,2013,3.2
First decile,Austria,2014,3.4
First decile,Austria,2015,3.5
First decile,Austria,2016,3.3
First decile,Austria,2017,3.1
First decile,Austria,2018,3.4
First decile,Austria,2019,3.2
First decile,Austria,2020,3.3
First decile,Austria,2021,3.2
First decile,Belgium,1995,3.0
First decile,Belgium,1996,3.0
First decile,Belgium,1997,4.0
First decile,Belgium,1998,4.0
First decile,Belgium,1999,4.0
First decile,Belgium,2000,4.0
First decile,Belgium,2001,4.0
First decile,Belgium,2003,3.1
First decile,Belgium,2004,3.3
First decile,Belgium,2005,3.8
First decile,Belgium,2006,3.3
First decile,Belgium,2007,3.6
First decile,Belgium,2008,3.5
First decile,Belgium,2009,3.5
First decile,Belgium,2010,3.6
First decile,Belgium,2011,3.6
First decile,Belgium,2012,3.4
First decile,Belgium,2013,3.7
First decile,Belgium,2014,3.7
First decile,Belgium,2015,3.7
First decile,Belgium,2016,3.7
First decile,Belgium,2017,3.6
First decile,Belgium,2018,3.7
First decile,Belgium,2019,3.9
First decile,Belgium,2020,3.9
First decile,Belgium,2021,4.1
First decile,Bulgaria,2006,2.8
First decile,Bulgaria,2007,1.8
First decile,Bulgaria,2008,2.4
First decile,Bulgaria,2009,2.6
First decile,Bulgaria,2010,2.6
First decile,Bulgaria,2011,2.3
First decile,Bulgaria,2012,2.3
First decile,Bulgaria,2013,2.2
First decile,Bulgaria,2014,2.1
First decile,Bulgaria,2015,2.2
First decile,Bulgaria,2016,1.8
First decile,Bulgaria,2017,1.9
First decile,Bulgaria,2018,2.1
First decile,Bulgaria,2019,2.1
First decile,Bulgaria,2020,2.1
First decile,Bulgaria,2021,2.3
First decile,Switzerland,2007,3.1
First decile,Switzerland,2008,3.1
First decile,Switzerland,2009,3.2
First decile,Switzerland,2010,3.3
First decile,Switzerland,2011,3.2
First decile,Switzerland,2012,3.3
First decile,Switzerland,2013,3.6
First decile,Switzerland,2014,3.5
First decile,Switzerland,2015,3.4
First decile,Switzerland,2016,3.4
First decile,Switzerland,2017,3.2
