perc,year,rel_income,country
0.1,2017,2.0,Albania
0.1,2018,2.0,Albania
0.1,2019,2.3,Albania
0.1,2020,2.5,Albania
0.1,1995,3.0,Austria
0.1,1996,4.0,Austria
0.1,1997,4.0,Austria
0.1,1998,4.0,Austria
0.1,1999,4.0,Austria
0.1,2000,4.0,Austria
0.1,2001,4.0,Austria
0.1,2003,3.5,Austria
0.1,2004,3.6,Austria
0.1,2005,3.8,Austria
0.1,2006,3.8,Austria
0.1,2007,3.8,Austria
0.1,2008,3.4,Austria
0.1,2009,3.3,Austria
0.1,2010,3.2,Austria
0.1,2011,3.4,Austria
0.1,2012,3.2,Austria
0.1,2013,3.2,Austria
0.1,2014,3.4,Austria
0.1,2015,3.5,Austria
0.1,2016,3.3,Austria
0.1,2017,3.1,Austria
0.1,2018,3.4,Austria
0.1,2019,3.2,Austria
0.1,2020,3.3,Austria
0.1,2021,3.2,Austria
0.1,1995,3.0,Belgium
0.1,1996,3.0,Belgium
0.1,1997,4.0,Belgium
0.1,1998,4.0,Belgium
0.1,1999,4.0,Belgium
0.1,2000,4.0,Belgium
0.1,2001,4.0,Belgium
0.1,2003,3.1,Belgium
0.1,2004,3.3,Belgium
0.1,2005,3.8,Belgium
0.1,2006,3.3,Belgium
0.1,2007,3.6,Belgium
0.1,2008,3.5,Belgium
0.1,2009,3.5,Belgium
0.1,2010,3.6,Belgium
0.1,2011,3.6,Belgium
0.1,2012,3.4,Belgium
0.1,2013,3.7,Belgium
0.1,2014,3.7,Belgium
0.1,2015,3.7,Belgium
0.1,2016,3.7,Belgium
0.1,2017,3.6,Belgium
0.1,2018,3.7,Belgium
0.1,2019,3.9,Belgium
0.1,2020,3.9,Belgium
0.1,2021,4.1,Belgium
0.1,2006,2.8,Bulgaria
0.1,2007,1.8,Bulgaria
0.1,2008,2.4,Bulgaria
0.1,2009,2.6,Bulgaria
0.1,2010,2.6,Bulgaria
0.1,2011,2.3,Bulgaria
0.1,2012,2.3,Bulgaria
0.1,2013,2.2,Bulgaria
0.1,2014,2.1,Bulgaria
0.1,2015,2.2,Bulgaria
0.1,2016,1.8,Bulgaria
0.1,2017,1.9,Bulgaria
0.1,2018,2.1,Bulgaria
0.1,2019,2.1,Bulgaria
0.1,2020,2.1,Bulgaria
0.1,2021,2.3,Bulgaria
0.1,2007,3.1,Switzerland
0.1,2008,3.1,Switzerland
0.1,2009,3.2,Switzerland
0.1,2010,3.3,Switzerland
0.1,2011,3.2,Switzerland
0.1,2012,3.3,Switzerland
0.1,2013,3.6,Switzerland
0.1,2014,3.5,Switzerland
0.1,2015,3.4,Switzerland
0.1,2016,3.4,Switzerland
0.1,2017,3.2,Switzerland
0.1,2018,3.3,Switzerland
0.1,2019,3.1,Switzerland
0.1,2020,3.1,Switzerland
0.1,2005,3.5,Cyprus
0.1,2006,3.6,Cyprus
0.1,2007,3.6,Cyprus
0.1,2008,3.7,Cyprus
0.1,2009,3.7,Cyprus
0.1,2010,3.5,Cyprus
0.1,2011,3.6,Cyprus
0.1,2012,3.5,Cyprus
0.1,2013,3.5,Cyprus
0.1,2014,3.3,Cyprus
0.1,2015,3.3,Cyprus
0.1,2016,3.4,Cyprus
0.1,2017,3.7,Cyprus
0.1,2018,3.8,Cyprus
0.1,2019,3.7,Cyprus
0.1,2020,3.7,Cyprus
0.1,2021,3.8,Cyprus
0.1,2005,4.0,Czechia
0.1,2006,4.2,Czechia
0.1,2007,4.2,Czechia
0.1,2008,4.2,Czechia
0.1,2009,4.2,Czechia
