code,num,label,original
D,1,First decile,D1:First decile
D,10,Tenth decile,D10:Tenth decile
D,2,Second decile,D2:Second decile
D,3,Third decile,D3:Third decile
D,4,Fourth decile,D4:Fourth decile
D,5,Fifth decile,D5:Fifth decile
D,6,Sixth decile,D6:Sixth decile
D,7,Seventh decile,D7:Seventh decile
D,8,Eighth decile,D8:Eighth decile
D,9,Ninth decile,D9:Ninth decile
P,1,First percentile,P1:First percentile
P,100,Hundredth percentile,P100:Hundredth percentile
P,2,Second percentile,P2:Second percentile
P,3,Third percentile,P3:Third percentile
P,4,Fourth percentile,P4:Fourth percentile
P,5,Fifth percentile,P5:Fifth percentile
P,95,Ninety-fifth percentile,P95:Ninety-fifth percentile
P,96,Ninety-sixth percentile,P96:Ninety-sixth percentile
P,97,Ninety-seventh percentile,P97:Ninety-seventh percentile
P,98,Ninety-eighth percentile,P98:Ninety-eighth percentile
P,99,Ninety-ninth percentile,P99:Ninety-ninth percentile
Q,1,First quartile,Q1:First quartile
Q,2,Second quartile,Q2:Second quartile
Q,3,Third quartile,Q3:Third quartile
Q,4,Fourth quartile,Q4:Fourth quartile
QU,1,First quintile,QU1:First quintile
QU,2,Second quintile,QU2:Second quintile
QU,3,Third quintile,QU3:Third quintile
QU,4,Fourth quintile,QU4:Fourth quintile
QU,5,Fifth quintile,QU5:Fifth quintile
